"Pipeline","Amount","Churn","Contract.Length","Has.Ever.Been.Poc","Country","Tier","Industry","Created.On.Platform","No.Of.Conversations.Q1.To.Q3","Avg.Conversation.Rating.Q1.To.Q3","Avg.No.Of.Conversation.Parts.Q1.To.Q3","Created.Campaigns.Q1.To.Q3","Live.Campaigns.Q1.To.Q3","No.Of.Integrations.Q1.To.Q3","Previous.No.Of.Deals","Percentage.Going.Live","Distinct.Game.Types.Used","Distinct.Live.Game.Types.Used","Avg.Unique.Reg.Rate.Q1.To.Q3","Avg.Time.Spent.Q1.To.Q3","Days.Until.First.Campaign","Days.Until.First.Live.Campaign"
"Renewal sales pipeline",9408.60215053763,"0",365,"No","DK","A","Retailers",2017,9,5,29.8888888888889,4,3,2,2,0.75,4,3,0.293429284545753,60.4285714285714,24,138
"Newbizz Pipeline",9408.60215053763,"0",365,"No","DK","A","Retailers",2017,4,5,22,18,0,4,0,0,7,0,0.258452413927948,5.26315789473684,7,307
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","B","Consumer brands",2016,4,4.70372488511426,25.25,21,1,2,0,0.0476190476190476,9,1,0.268122030690332,20.6818181818182,83,82
"Renewal sales pipeline",20161.2903225806,"0",365,"No","DK","A","Financial services",2018,0,4.70372488511426,26.0515683679166,2,2,3,1,1,1,1,0.37553081219123,27.5,55,64
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","A","Media & entertainment",2017,40,4.64285714285714,29.5128205128205,65,39,5,0,0.6,15,10,0.317020296943244,42.8923076923077,28,32
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","Financial services",2018,7,4.4,14,2,2,2,0,1,1,1,0.251606101821043,61.3333333333333,57,89
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","Financial services",2018,0,4.70372488511426,26.0515683679166,1,0,1,1,0,1,0,0.367182631923119,13,44,72.8333333333333
"Renewal sales pipeline",1612.90322580645,"0",365,"No","DK","C","B2B",2019,8,4.70372488511426,23.1428571428571,15,8,2,0,0.533333333333333,4,2,0.100790133052665,41.3333333333333,87,97
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","Retailers",2019,13,5,21.6923076923077,37,21,5,1,0.567567567567568,10,8,0.425286718026551,61.9347826086956,1,11
"Renewal sales pipeline",6720.43010752688,"0",366,"No","DK","B","Retailers",2019,19,4.92857142857143,16,39,14,6,0,0.358974358974359,16,8,0.464397930764758,57.4375,10,40
"Renewal sales pipeline",13440.8602150538,"0",365,"No","DK","A","Energy / utility",2018,7,4.70372488511426,13.1428571428571,21,12,1,2,0.571428571428571,8,6,0.279247571051877,50.9047619047619,13,49
"Renewal sales pipeline",26881.7204301075,"0",365,"No","DK","A","Retailers",2018,17,4.83333333333333,37.8823529411765,116,78,4,2,0.672413793103448,11,8,0.346108653580316,49.448087431694,1,14
"Renewal sales pipeline",4032.25806451613,"0",365,"No","DK","C","NGO/interest organisations/labour unions",2019,0,4.70372488511426,26.0515683679166,2,0,1,1,0,1,0,0.367182631923119,32.5,65,72.8333333333333
"Renewal sales pipeline",13440.8602150538,"0",365,"No","DK","Enterprise","Financial services",2017,14,5,16.2142857142857,65,11,5,0,0.169230769230769,13,6,0.394338866693405,28.9402985074627,2,32
"Renewal sales pipeline",13440.8602150538,"0",365,"No","DK","Enterprise","Financial services",2017,23,4.9,26.6190476190476,44,8,4,1,0.181818181818182,10,3,0.635471163775495,46.9565217391304,1,11
"Newbizz Pipeline",16801.0752688172,"0",365,"Yes","DK","Enterprise","NGO/interest organisations/labour unions",2018,16,4.44444444444444,14.7333333333333,22,17,4,0,0.772727272727273,5,3,0.705384627221181,40.5652173913044,50,50
"Renewal sales pipeline",16801.0752688172,"0",365,"Yes","DK","Enterprise","NGO/interest organisations/labour unions",2018,0,4.70372488511426,26.0515683679166,3,0,0,1,0,1,0,0.367182631923119,0,63,72.8333333333333
"Renewal sales pipeline",10080.6451612903,"0",366,"Yes","DK","A","Retailers",2018,2,5,37,10,4,4,0,0.4,9,3,0.482217028830892,26.6470588235294,33,41
"Renewal sales pipeline",6720.43010752688,"0",366,"No","DK","A","NGO/interest organisations/labour unions",2017,39,3.66666666666667,25.4166666666667,64,35,6,0,0.546875,10,9,0.460269891969989,44.9852941176471,27,30
"Renewal sales pipeline",3360.21505376344,"0",366,"No","DK","C","Financial services",2017,0,4.70372488511426,26.0515683679166,8,2,3,0,0.25,4,1,0.367182631923119,6.46153846153846,17,16
"Renewal sales pipeline",6016.12903225806,"0",365,"No","FI","C","B2B",2019,11,4.42857142857143,22.9090909090909,9,0,2,1,0,3,0,0.367182631923119,62.5555555555556,49,72.8333333333333
"Renewal sales pipeline",4010.75268817204,"0",365,"No","FI","C","B2B",2019,20,4.44444444444444,17.35,14,4,2,0,0.285714285714286,6,3,0.623866333499524,65.8571428571429,5,81
"Newbizz Pipeline",7392.47311827957,"0",496,"No","DK","B","Travel & Leisure",2020,22,5,19,8,0,3,0,0,3,0,0.591019248841931,41.7,8,282
"Renewal sales pipeline",9139.78494623656,"0",365,"No","DK","Enterprise","Retailers",2019,36,4.96153846153846,30.5,30,21,7,1,0.7,8,5,0.568919906256969,47.7222222222222,21,25
"Renewal sales pipeline",8736.55913978495,"1",365,"No","DK","Enterprise","Consumer brands",2018,4,5,30,9,5,2,0,0.555555555555556,4,2,0.369645916619075,13.7777777777778,55,83
"Newbizz Pipeline",12768.8172043011,"1",425,"Yes","DK","A","Retailers",2019,3,4,7.5,9,0,2,0,0,5,0,0.367182631923119,0,12,72.8333333333333
"Newbizz Pipeline",7392.47311827957,"0",365,"No","DK","B","Travel & Leisure",2016,4,5,14.5,54,26,4,0,0.481481481481481,13,8,0.494896299730973,77.5804195804196,2,7
"Renewal sales pipeline",40322.5806451613,"0",365,"No","DK","Enterprise","Consumer brands",2016,53,5,24.3269230769231,49,31,6,1,0.63265306122449,14,11,0.284386327859964,41.6329113924051,1,9
"Newbizz Pipeline",20161.2903225806,"0",411,"No","DK","A","Retailers",2020,3,4.33333333333333,21,19,0,2,0,0,7,0,0.367182631923119,8.36842105263158,15,72.8333333333333
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","B","Consumer brands",2016,14,4.85714285714286,56.5,14,6,5,1,0.428571428571429,6,3,0.104353323454292,29,10,160
"Renewal sales pipeline",16801.0752688172,"0",366,"No","DK","A","Financial services",2018,0,4.70372488511426,26.0515683679166,1,0,3,0,0,1,0,0.367182631923119,0,79,72.8333333333333
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","A","Media & entertainment",2017,4,5,17.5,4,1,1,1,0.25,3,1,0.367182631923119,29.75,5,11
"Newbizz Pipeline",10080.6451612903,"0",365,"No","DK","B","Retailers",2021,13,5,16.4615384615385,23,1,3,0,0.0434782608695652,6,1,0.337309476474486,9.25,8,20
"Newbizz Pipeline",5645.16129032258,"1",427,"No","DK","C","B2B",2019,0,4.70372488511426,26.0515683679166,6,2,4,0,0.333333333333333,4,2,0.102222222222222,34.6666666666667,20,43
"Renewal sales pipeline",1612.90322580645,"0",365,"No","DK","C","B2B",2019,2,4.70372488511426,31.5,13,16,2,1,1.23076923076923,3,5,0.367182631923119,55.5,15,92
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","Enterprise","Travel & Leisure",2016,0,4.70372488511426,26.0515683679166,25,9,7,0,0.36,14,7,0.480862824559589,36.6774193548387,2,57
"Renewal sales pipeline",7392.47311827957,"0",458,"No","DK","A","Energy / utility",2018,13,5,18.25,11,6,1,0,0.545454545454545,7,3,0.350710900473934,44.1818181818182,21,29
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","B","Retailers",2019,3,4.70372488511426,23.6666666666667,4,0,0,0,0,2,0,0.367182631923119,0,250,72.8333333333333
"Renewal sales pipeline",8064.51612903226,"0",365,"No","DK","A","B2B",2016,0,4.70372488511426,26.0515683679166,1,0,2,2,0,1,0,0.367182631923119,0,7,72.8333333333333
"Renewal sales pipeline",6720.43010752688,"0",366,"No","DK","A","B2B",2016,23,4.6,16.6111111111111,31,11,5,0,0.354838709677419,11,4,0.322627341781226,37.2,1,53
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","A","B2B",2016,16,4.66666666666667,28.625,14,12,3,1,0.857142857142857,4,5,0.251162097205176,71,16,26
